"convocation","full_name","birthday"
1,"Некрасов Владилен Петрович","17.7.1934"
1,"Ванєєв Геннадій Іванович","23.6.1927"
1,"Кондряков Олександр Миколайович","16.2.1953"
1,"Зінченко Арсен Леонідович","20.7.1948"
1,"Павліченко Віталій Купріянович","14.2.1937"
1,"Севастьянов Володимир Іванович","15.8.1943"
1,"Терехов Володимир Павлович","5.9.1937"
1,"Матійко Анатолій Семенович","14.7.1947"
1,"Пшеничников Анатолій Єгорович","25.1.1945"
1,"Курашик Віталій Володимирович","8.5.1939"
1,"Аптер Яків Михайлович","30.11.1940"
1,"Куніцин Сергій Володимирович","27.7.1960"
1,"Цеков Сергій Павлович","28.9.1953"
1,"Рева Віталій Михайлович","25.2.1938"
1,"Саввін Олексій Михайлович (Митрополит Агафангел)","2.9.1938"
1,"Спис Микола Михайлович","15.8.1946"
1,"Перепадін Олександр Іванович","13.7.1945"
1,"Колісниченко Микола Петрович","7.8.1949"
1,"Кузьменко Микола Іванович","10.7.1944"
1,"Демидов Григорій Вікторович","26.11.1948"
1,"Багров Микола Васильович","26.10.1937"
1,"Гаврилов Анатолій Васильович","12.7.1946"
1,"Казак Леонід Васильович","27.7.1947"
1,"Влох Орест-Степан Григорович","2.7.1934"
1,"Драч Іван Федорович","17.10.1936"
1,"Олійник Борис Степанович","23.6.1934"
1,"Горинь Михайло Миколайович","17.6.1930"
1,"Хмара Степан Ілліч","12.10.1937"
1,"Котик Богдан Дмитрович","6.11.1936"
1,"Пинзеник Віктор Михайлович","15.4.1954"
1,"Юхновський Ігор Рафаїлович","1.4.1925"
1,"Чорновіл Вячеслав Максимович","24.12.1937"
1,"Іваничук Роман Іванович","27.5.1929"
1,"Деркач Ігор Степанович","5.9.1963"
1,"Романюк Віталій (Віктор) Степанович","18.11.1938"
1,"Козярський Богдан Іванович","16.3.1931"
1,"Чобіт Дмитро Васильович","19.2.1952"
1,"Борщенко Ігор Олександрович","12.8.1966"
1,"Батіг Михайло Іванович","7.9.1955"
1,"Гринів Євген Андрійович","22.1.1936"
1,"Горинь Богдан Миколайович","10.2.1936"
1,"Швайка Михайло Андрійович","23.11.1931"
1,"Калинець Ірина Онуфріївна","6.12.1940"
1,"Стецьків Тарас Степанович","7.4.1964"
1,"Гринів Ігор Олексійович","10.3.1961"
1,"Косів Михайло Васильович","28.11.1934"
1,"Кендзьор Ярослав-Петро Михайлович","12.7.1941"
1,"Макар Іван Іванович","15.1.1957"
1,"Маслов Михайло Іванович","29.12.1948"
1,"Павлюк Степан Петрович","2.1.1948"
1,"Лубківський Роман Мар’янович","10.8.1941"
1,"Виноградський Максим Павлович","27.11.1946"
1,"Мороз Олександр Володимирович","11.8.1950"
1,"Кінах Анатолій Кирилович","4.8.1954"
1,"Бердніков Олександр Якович","6.1.1951"
1,"Матвєєв Володимир Йосипович","24.7.1943"
1,"Савченко Анатолій Петрович","3.2.1937"
1,"Толубко Володимир Борисович","3.9.1948"
1,"Чебан Олександр Олександрович","28.3.1955"
1,"Шинкарук Володимир Максимович","15.11.1938"
1,"Рябоконь Василь Петрович","30.3.1940"
1,"Грицай Іван Трохимович","20.9.1938"
1,"Потебенько Михайло Олексійович","16.2.1937"
1,"Башкіров Михайло Володимирович","29.8.1949"
1,"Горін Едуард Олексійович","25.11.1935"
1,"Романов Юрій Сергійович","13.5.1939"
1,"Мазур Юлій Маркович","15.7.1937"
1,"Головенко Микола Якович","3.4.1942"
1,"Симоненко Валентин Костянтинович","4.7.1940"
1,"Остроущенко Світлана Вікторівна","14.2.1937"
1,"Дорогунцов Сергій Іванович","22.9.1929"
1,"Танюк Леонід (Лесь) Степанович","8.7.1938"
1,"Матвієнко Анатолій Сергійович","23.3.1953"
1,"Хмельнюк Валерій Якович","16.1.1945"
1,"Резнік Борис Якович","5.1.1929"
1,"Лобенко Анатолій Олександрович","17.7.1937"
1,"Гальцев Павло Сазонтійович","25.1.1936"
1,"Дунтау Олександр Михайлович","21.7.1946"
1,"Рибальченко Анатолій Андрійович","7.6.1937"
1,"Пилипенко Віктор Васильович","17.6.1934"
1,"Дудченко Віталій Іванович","13.7.1937"
1,"Македонський Іван Іванович","17.6.1942"
1,"Печеров Андрій Васильович","13.12.1937"
1,"Дідик Микола Анатолійович","1.1.1935"
1,"Бутенко Анатолій Іванович","23.2.1938"
1,"Поджаров Іван Іванович","8.10.1951"
1,"Боделан Руслан Борисович","4.2.1942"
1,"Снігірьов Микола Михайлович","10.7.1940"
1,"Савельєв Олег Єфремович","28.5.1951"
1,"Мельник Борис Павлович","9.10.1941"
1,"Стадниченко Володимир Якович","20.6.1936"
1,"Васін Євген Михайлович","7.11.1936"
1,"Кіпаріс Федір Сергійович","11.5.1940"
1,"Носов Владислав Васильович","19.4.1946"
1,"Мартиненко Володимир Петрович","14.5.1937"
1,"Ткач Полікарп Ілліч","18.12.1936"
1,"Подчос Григорій Степанович","17.8.1943"
1,"Бойко Вадим Леонідович","5.11.1962"
1,"Залудяк Микола Іванович","2.4.1941"
1,"Петров Віктор Михайлович","18.10.1946"
1,"Сватков Леонід Борисович","29.7.1949"
1,"Петренко Микола Якович","27.10.1940"
1,"Ківшик Петро Андрійович","22.5.1942"
1,"Гопей Іван Олександрович","10.6.1937"
1,"Шкарбан Микола Іванович","23.12.1936"
1,"Передрій Борис Іванович","11.5.1944"
1,"Бондаренко Василь Маркович","25.10.1938"
1,"Ситник Віктор Петрович","1.6.1939"
1,"Дубенков Геннадій Олексійович","2.4.1950"
1,"Степенко Василь Іванович","28.11.1948"
1,"Ковінько Анатолій Іванович","6.5.1939"
1,"Червоній Василь Михайлович","24.8.1958"
1,"Пилипчук Володимир Мефодійович","18.8.1948"
1,"Білий Василь Павлович","6.8.1951"
1,"Каменчук Сергій Олександрович","8.10.1941"
1,"Руденко Василь Миколайович","17.2.1949"
1,"Костюк Олександр Власович","1.11.1940"
1,"Баталов Валерій Гаязович","27.6.1946"
1,"Шершун Микола Харитонович","26.10.1951"
1,"Хижняк Віталій Михайлович","25.10.1934"
1,"Поровський Микола Іванович","20.6.1956"
1,"Єршов Аркадій Віталійович","21.6.1936"
1,"Піскун Олександр Ілліч","30.7.1953"
1,"Воробйов Олександр Миколайович","5.6.1956"
1,"Грабін Володимир Володимирович","23.7.1933"
1,"Хоменко Микола Григорович","20.6.1934"
1,"Рапій Роман Костянтинович","7.9.1936"
1,"Марченко Володимир Романович","22.10.1953"
1,"Сербін Юрій Сергійович","5.3.1949"
1,"Череп Валерій Іванович","23.3.1941"
1,"Гринчук Іван Адамович","8.8.1944"
1,"Грищенко Іван Михайлович","11.11.1956"
1,"Бондаренко Анатолій Дмитрович","8.5.1934"
1,"Чернявський Олексій Пилипович","12.3.1942"
1,"Плосконос Ігор Миколайович","29.4.1959"
1,"Ананьєв Володимир Іванович","23.3.1929"
1,"Колінець Володимир Володимирович","7.11.1955"
1,"Горохівський Леон Теодорович","15.2.1943"
1,"Шевченко Олександр Тихонович","27.10.1924"
1,"Павличко Дмитро Васильович","28.9.1929"
1,"Завадська Катерина Павлівна","3.10.1958"
1,"Попик Іван Васильович","10.8.1935"
1,"Мацялко Михайло Васильович","15.2.1933"
1,"Бойко Богдан Федорович","29.9.1954"
1,"Крупа Лев Миколайович","1.1.1944"
1,"Гуменюк (Куземко) Марія Василівна","26.2.1948"
1,"Мотюк Мирослав Павлович","1.6.1950"
1,"Московка Володимир Миколайович","13.12.1950"
1,"Мещеряков Валерій Федорович","11.1.1947"
1,"Сухоруков Андрій Олександрович","17.7.1942"
1,"Санін Василь Никифорович","6.12.1938"
1,"Гриньов Володимир Борисович","26.7.1945"
1,"Мельник Микола Євтихійович","17.4.1943"
1,"Алтунян Генріх Ованесович","24.11.1933"
1,"Левченко Геннадій Петрович","20.12.1947"
1,"Валеня Іван Юрійович","15.1.1947"
1,"Гайсинський Юрій Олександрович","26.9.1947"
1,"Батюшко Стефан Васильович","16.4.1949"
1,"Щербина Володимир Олександрович","3.2.1935"
1,"Кушнарьов Євген Петрович","29.1.1951"
1,"Бондаренко Віктор Олександрович","18.10.1931"
1,"Голобородько Олександр Миколайович","5.12.1950"
1,"Гордієнко Анатолій Леонтійович","8.2.1938"
1,"Савчук Анатолій Якович","14.12.1938"
1,"Чепурний Анатолій Григорович","1.2.1941"
1,"Корнієнко Леонід Якович","14.9.1932"
1,"Качура Борис Васильович","1.9.1930"
1,"Казмірук Віталій Йосипович","2.3.1942"
1,"Тризна Олександр Андрійович","3.1.1930"
1,"Карасик Владлен Михайлович","30.8.1936"
1,"Колєснік Олексій Миколайович","26.2.1949"
1,"Даниленко Володимир Макарович","6.5.1954"
1,"Коржик Валентин Іванович","13.6.1946"
1,"Філенко Володимир Пилипович","11.10.1955"
1,"Бандурка Олександр Маркович","24.4.1937"
1,"Усатенко Володимир Іванович","21.1.1949"
1,"Кравчук Леонід Макарович","10.1.1934"
1,"Пучко Олександр Олександрович","29.6.1934"
1,"Ганжа Микола Олексійович","27.9.1947"
1,"Стрельников Володимир Костянтинович","2.7.1925"
1,"Касьяненко Анатолій Іванович","12.8.1942"
1,"Уманець Юрій Іванович","6.6.1936"
1,"Марков Борис Іванович","3.11.1949"
1,"Лебедик Петро Васильович","1.4.1950"
1,"Пулінець Павло Миколайович","22.10.1960"
1,"Шариков Борис Іванович","17.10.1936"
1,"Чумак Аркадій Степанович","23.1.1929"
1,"Пискуновський Костянтин Володимирович","14.2.1950"
1,"Збітнєв Юрій Іванович","25.10.1963"
1,"Дмитришин Ярослав Іванович","20.1.1939"
1,"Петін Володимир Миколайович","6.4.1949"
1,"Бичков Вячеслав Васильович","16.7.1941"
1,"Юрченко Анатолій Петрович","27.7.1948"
1,"Бокша Іван Іванович","21.12.1932"
1,"Ткачук Анатолій Федорович","6.4.1958"
1,"Науменко Микола Вікторович","1.2.1945"
1,"Тимчук Сергій Артемович","1.9.1948"
1,"Архіпова Ганна Григорівна","5.4.1939"
1,"Нагулко Тарас Дмитрович","30.10.1937"
1,"Ярчук Микола Миколайович","2.10.1952"
1,"Скальський Василь Володимирович","3.9.1948"
1,"Поворозник Володимир Васильович","15.7.1951"
1,"Гудима Олександр Васильович","3.1.1950"
1,"Глуховський Анатолій Якович","18.6.1946"
1,"Бортник Володимир Федорович","26.1.1949"
1,"Поперняк Анатолій Никифорович","25.7.1936"
1,"Фесун Никанор Артемович","10.11.1941"
1,"Любенчук Микола Іванович","31.7.1946"
1,"Романюк Василь Сергійович","1947"
1,"Бойко Катерина Володимирівна","18.5.1942"
1,"Ємельянов Олександр Сергійович","30.10.1932"
1,"Воєвода Микола Трохимович","4.11.1940"
1,"Криволап Володимир Іванович","12.6.1951"
1,"Мостиський Андрій Богданович","22.9.1962"
1,"Дробінський Віталій Григорович","28.2.1936"
1,"Білоблоцький Микола Петрович","24.12.1943"
1,"Загородній Григорій Дмитрович","12.9.1939"
1,"Полях Віталій Іванович","1.1.1948"
1,"Єльченко Юрій Никифорович","23.7.1929"
1,"Гетьман Вадим Петрович","12.7.1935"
1,"Дмитрук Леонтій Михайлович","1949"
1,"Шаповал Володимир Никифорович","9.4.1934"
1,"Пасічник Іван Давидович","10.8.1935"
1,"Артеменко Микола Михайлович","13.1.1926"
1,"Заєць Олександр Семенович","5.8.1929"
1,"Свідерський Федір Феофілактович","26.5.1949"
1,"Ходоровський Георгій Іванович","28.8.1938"
1,"Бойко Іван Васильович","24.4.1950"
1,"Бідений Василь Костянтинович","2.3.1944"
1,"Стус Володимир Іванович","21.5.1934"
1,"Бабій Дмитро Васильович","18.9.1941"
1,"Дмитрієв Євген Іванович","10.2.1947"
1,"Жук Віктор Васильович","1.4.1937"
1,"Ревенко Микола Мусійович","6.11.1937"
1,"Яхеєва Тетяна Михайлівна","25.11.1957"
1,"Лисенко Анатолій Олександрович","30.12.1940"
1,"Бондарчук Андрій Іванович","12.12.1936"
1,"Асеєв Герман Степанович","26.3.1938"
1,"Портной Володимир Степанович","22.4.1951"
1,"Гришко Михайло Васильович","23.3.1936"
1,"Семенець Сергій Володимирович","22.9.1960"
1,"Яковишин Леонід Григорович","19.5.1939"
1,"Куянов Віктор Васильович","17.7.1931"
1,"Мисник Павло Олексійович","12.2.1943"
1,"Приходько Віктор Андрійович","5.5.1944"
1,"Лісовенко Василь Трохимович","11.8.1948"
1,"Дронь Анатолій Андрійович","18.3.1945"
1,"Віцяк Павло Іванович","25.12.1934"
1,"Масол Віталій Андрійович","14.11.1928"
1,"Леміш Валентин Пантелійович","22.11.1937"
1,"Парасунько Михайло Васильович","20.4.1943"
1,"Бабанський Юрій Васильович","20.12.1948"
1,"Дідоренко Едуард Олексійович","10.7.1938"
1,"Шевченко Олесь Євгенович","22.2.1940"
1,"Ягоферов Анатолій Миколайович","5.10.1948"
1,"Квасов Володимир Ілліч","16.2.1934"
1,"Тихонов Віктор Миколайович","5.3.1949"
1,"Борзих Олександр Іванович","26.5.1950"
1,"Козаренко Василь Іванович","24.7.1937"
1,"Іоффе Юлій Якович","10.12.1940"
1,"Дорофєєв Володимир Миколайович","15.10.1941"
1,"Остапенко Олександр Федорович","29.6.1940"
1,"Теряник Віктор Іванович","25.4.1961"
1,"Лобач В’ячеслав Іванович","20.8.1946"
1,"Івашко Володимир Антонович","28.10.1932"
1,"Головач Володимир Михайлович","29.11.1963"
1,"Базілянський Лев Леонідович","25.7.1937"
1,"Сальніченко Віталій Миколайович","10.8.1940"
1,"Гавриленко Микола Мефодійович","2.1.1937"
1,"Ліщина Богдан Миколайович","4.7.1937"
1,"Фоменко Геннадій Петрович","25.2.1943"
1,"Бондаренко Віктор Степанович","26.3.1943"
1,"Ляхов Іван Андрійович","6.4.1936"
1,"Шульга Микола Олександрович","29.9.1943"
1,"Церт Микола Петрович","20.12.1955"
1,"Фокін Вітольд Павлович","25.10.1932"
1,"Духов Борис Інокентійович","9.11.1937"
1,"Яришев Микола Михайлович","8.4.1945"
1,"Хананов Едуард Ахатович","9.1.1942"
1,"Стешенко Олександр Миколайович","3.5.1952"
1,"Шведенко Микола Миколайович","21.6.1955"
1,"Попов Микола Михайлович","19.12.1937"
1,"Протасов Валентин Іванович","20.1.1947"
1,"Яцуба Володимир Григорович","1.7.1947"
1,"Корж Анатолій Володимирович","6.8.1947"
1,"Павлов Володимир Олексійович","2.8.1941"
1,"Пустовойтенко Валерій Павлович","23.2.1947"
1,"Веретенніков Віктор Олександрович","22.8.1940"
1,"Гнаткевич Юрій Васильович","4.4.1940"
1,"Сметанін Володимир Ілліч","11.5.1937"
1,"Кучма Леонід Данилович","9.8.1938"
1,"Табурянський Леопольд Іванович","22.7.1940"
1,"Правденко Сергій Макарович","29.4.1949"
1,"Баландюк Микола Степанович","8.1.1947"
1,"Дубров Леонід Васильович","30.10.1938"
1,"Істратенко Микола Васильович","4.5.1950"
1,"Барабаш Олександр Леонідович","1.3.1955"
1,"Чорнокур Володимир Романович","24.6.1943"
1,"Байрака Михайло Миколайович","1.1.1950"
1,"Івасюк Валерій Петрович","14.9.1958"
1,"Рябченко Микола Андрійович","1.5.1941"
1,"Хомич Дмитро Михайлович","28.6.1941"
1,"Бадов Володимир Федорович","11.7.1952"
1,"Коробко Микола Іванович","17.1.1937"
1,"Євтухов Василь Іванович","16.10.1948"
1,"Негода Володимир Федорович","14.11.1954"
1,"Головко Юрій Петрович","4.8.1948"
1,"Мельник Анатолій Максимович","5.1.1936"
1,"Слободенюк Володимир Микитович","9.9.1944"
1,"Медвєдєв Володимир Гур’янович","19.1.1948"
2,"Агафонов Анатолій Вікторович","16.9.1949"
2,"Азаров Микола Янович","17.12.1947"
2,"Аксененко Сергій Іванович","23.5.1967"
2,"Алексєєв Володимир Геннадійович","16.10.1953"
2,"Альошин Валерій Борисович","1.1.1957"
2,"Ампілогов Володимир Федорович","19.9.1954"
2,"Анісімов Леонід Олександрович","1.4.1947"
2,"Анненков Єгор Іванович","3.5.1941"
2,"Бабич Валерій Георгійович","25.8.1953"
2,"Байрак Микола Володимирович","4.5.1963"
2,"Бакай Ігор Михайлович","17.11.1963"
2,"Бандурка Олександр Маркович","24.4.1937"
2,"Бардин Ярослав Богданович","17.4.1958"
2,"Безсмертний Роман Петрович","15.11.1965"
2,"Безуглий Анатолій Григорович","5.5.1936"
2,"Бережний Олексій Тимофійович","26.2.1952"
2,"Бєльський Вячеслав Іванович","4.5.1954"
2,"Биченко Микола Іванович","2.7.1953"
2,"Білас Іван Григорович","9.5.1953"
2,"Білоус Вячеслав Олександрович","15.10.1953"
2,"Бобриньов Олександр Васильович","18.8.1951"
2,"Боделан Руслан Борисович","4.2.1942"
2,"Боженко Олег Віталійович","12.6.1963"
2,"Бойко Богдан Федорович","29.9.1954"
2,"Болдирєв Юрій Олександрович","16.2.1951"
2,"Бондаренко Віктор Степанович","26.3.1943"
2,"Бондаренко Володимир Дмитрович","4.12.1952"
2,"Борзих Олександр Іванович","26.5.1950"
2,"Боровик Олександр Григорович","20.11.1938"
2,"Бородіч Леонід Васильович","14.6.1953"
2,"Бортник Володимир Федорович","26.1.1949"
2,"Брит Віктор Петрович","1.10.1935"
2,"Бряузов Володимир Павлович","29.4.1941"
2,"Бублик Юрій Тимофійович","13.4.1950"
2,"Буздуган Юрій Олексійович","10.10.1962"
2,"Буряк Сергій Васильович","1.4.1966"
2,"Бурячинський Олександр Миколайович","27.4.1950"
2,"Бутейко Антон Денисович","6.4.1947"
2,"Буткевич Володимир Григорович","2.8.1946"
2,"Васильєв Геннадій Андрійович","3.10.1953"
2,"Васюра Іван Іванович","12.1.1948"
2,"Ващук Катерина Тимофіївна","20.1.1947"
2,"Вернигора Леонід Михайлович","20.10.1939"
2,"Верхогляд Василь Карпович","15.11.1930"
2,"Вишнєвецький Георгій Васильович","19.1.1949"
2,"Вінський Йосип Вікентійович","2.1.1956"
2,"Вітович Олег Васильович","7.4.1967"
2,"Вітренко Наталія Михайлівна","28.12.1951"
2,"Волковецький Степан Васильович","30.1.1947"
2,"Гаманюк Леонід Юхимович","22.6.1941"
2,"Гармаш Леонід Іванович","20.4.1952"
2,"Гарькавий Віталій Іванович","27.5.1947"
2,"Германчук Петро Кузьмович","14.3.1952"
2,"Гетьман Вадим Петрович","12.7.1935"
2,"Гладуш Віктор Дмитрович","10.1.1937"
2,"Глух Іван Васильович","11.8.1950"
2,"Глухівський Лев Йосипович","28.10.1942"
2,"Гмиря Сергій Петрович","26.1.1954"
2,"Говорун Володимир Пилипович","14.7.1935"
2,"Головатий Сергій Петрович","29.5.1954"
2,"Головко Анатолій Федорович","17.8.1938"
2,"Головко Володимир Ілліч","12.2.1947"
2,"Голубченко Анатолій Костянтинович","6.6.1950"
2,"Гончар Василь Антонович","5.1.1961"
2,"Горбаль Микола Андрійович","6.5.1941"
2,"Горбатов Валерій Миронович","27.6.1955"
2,"Горбатюк Микола Дмитрович","21.6.1948"
2,"Горбатюк Мирослав Пилипович","15.6.1940"
2,"Горинь Богдан Миколайович","10.2.1936"
2,"Горохівський Леон Теодорович","15.2.1943"
2,"Гошовська Валентина Андріївна","19.1.1948"
2,"Грабар Микола Федорович","23.11.1962"
2,"Григорович Лілія Степанівна","12.9.1957"
2,"Грінцов Іван Григорович","7.2.1935"
2,"Гурвіц Едуард Йосипович","30.1.1948"
2,"Гуров Вадим Миколайович","22.2.1937"
2,"Даниленко Анатолій Степанович","4.3.1953"
2,"Данча Михайло Дмитрович","26.7.1954"
2,"Дем’ян Григорій Васильович","2.11.1929"
2,"Динейкін Григорій Іванович","15.10.1951"
