УКРАЇНА 45962947 45778534 45633637
Бахчисарайський район 90113 90339 90754
Міське населення 32449 32551 32718
м. Бахчисарай 26144 26215 26363
смт Куйбишеве 2371 2368 2391
смт Научний 810 821 807
смт Поштове 3124 3147 3157
Сільське населення 57664 57788 58036
Білогірський район 63943 63949 64081
Міське населення 25218 25235 25284
м. Білогірськ 18224 18208 18199
смт Зуя 6994 7027 7085
Сільське населення 38725 38714 38797
Джанкойський район 74923 74538 74426
Міське населення 5843 5847 5869
смт Азовське 3828 3811 3806
смт Вільне 2015 2036 2063
Сільське населення 69080 68691 68557
Кіровський район 53991 53844 53884
Міське населення 16540 16470 16549
м. Старий Крим 9492 9446 9485
смт Кіровське 7048 7024 7064
Сільське населення 37451 37374 37335
Красногвардійський район 90711 90722 90907
Міське населення 22134 22203 22213
смт Красногвардійське 10708 10714 10742
смт Октябрське 11426 11489 11471
Сільське населення 68577 68519 68694
Красноперекопський район 29809 29634 29615
Сільське населення 29809 29634 29615
Ленінський район 63565 63486 63256
Міське населення 23124 23129 23023
м. Щолкіне 11242 11231 11194
смт Леніне 7926 7936 7910
смт Багерове 3956 3962 3919
Сільське населення 40441 40357 40233
Нижньогірський район 51233 50935 50764
Міське населення 9642 9564 9505
смт Нижньогірський 9642 9564 9505
Сільське населення 41591 41371 41259
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
40
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Первомайський район 36014 35790 35651
Міське населення 9060 9019 9008
смт Первомайське 9060 9019 9008
Сільське населення 26954 26771 26643
Роздольненський район 34528 34364 34422
Міське населення 10639 10662 10707
смт Роздольне 7312 7300 7326
смт Новоселівське 3327 3362 3381
Сільське населення 23889 23702 23715
Сакський район 77456 77665 77831
Міське населення 6433 6493 6557
смт Новофедорівка 6433 6493 6557
Сільське населення 71023 71172 71274
Сімферопольський район 155338 156210 157170
Міське населення 22499 22494 22569
смт Гвардійське 12685 12620 12660
смт Молодіжне 7094 7151 7174
смт Миколаївка 2720 2723 2735
Сільське населення 132839 133716 134601
Совєтський район 34295 34241 34230
Міське населення 9887 9947 9957
смт Совєтський 9887 9947 9957
Сільське населення 24408 24294 24273
Чорноморський район 31893 31904 31971
Міське населення 10983 10991 11039
смт Чорноморське 10983 10991 11039
Сільське населення 20910 20913 20932
Вінницька область 1650608 1641201 1634187
Міське населення 814224 814070 815786
Сільське населення 836384 827131 818401
м. Вінниця 369214 369490 370814
м. Жмеринка 35530 35431 35452
Козятин (міськрада) 25465 25322 25313
Міське населення 25465 25322 25313
м. Козятин 24461 24324 24319
смт Залізничне 1004 998 994
Ладижин (міськрада) 23750 23896 24122
Міське населення 22497 22632 22849
м. Ладижин 22497 22632 22849
Сільське населення 1253 1264 1273
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
41
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Могилів-Подільський (міськрада) 32604 32463 32449
Міське населення 32410 32266 32250
м. Могилів-Подільський 32410 32266 32250
Сільське населення 194 197 199
м. Хмільник 28076 28136 28230
Барський район 54938 54554 54268
Міське населення 17705 17794 17777
м. Бар 16393 16471 16461
смт Копайгород 1312 1323 1316
Сільське населення 37233 36760 36491
Бершадський район 63604 62899 62109
Міське населення 13239 13223 13162
м. Бершадь 13239 13223 13162
Сільське населення 50365 49676 48947
Вінницький район 76256 76605 77064
Міське населення 16568 16653 16789
смт Вороновиця 6442 6466 6522
смт Десна 1301 1318 1331
смт Стрижавка 8825 8869 8936
Сільське населення 59688 59952 60275
Гайсинський район 59828 59306 58843
Міське населення 25760 25711 25727
м. Гайсин 25760 25711 25727
Сільське населення 34068 33595 33116
Жмеринський район 36690 36327 35960
Міське населення 4663 4691 4725
смт Браїлів 4663 4691 4725
Сільське населення 32027 31636 31235
Іллінецький район 38953 38742 38490
Міське населення 15291 15328 15326
м. Іллінці 11286 11339 11351
смт Дашів 4005 3989 3975
Сільське населення 23662 23414 23164
Калинівський район 60123 59884 59669
Міське населення 19311 19335 19284
м. Калинівка 19311 19335 19284
Сільське населення 40812 40549 40385
Козятинський район 41944 41535 41274
Міське населення 5816 5765 5761
смт Бродецьке 2321 2302 2300
смт Глухівці 3495 3463 3461
Сільське населення 36128 35770 35513
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
42
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Крижопільський район 35780 35408 35114
Міське населення 8973 9024 9015
смт Крижопіль 8973 9024 9015
Сільське населення 26807 26384 26099
Липовецький район 40336 40002 39603
Міське населення 15568 15477 15423
м. Липовець 8976 8919 8870
смт Турбів 6592 6558 6553
Сільське населення 24768 24525 24180
Літинський район 37632 37198 36894
Міське населення 6797 6751 6760
смт Літин 6797 6751 6760
Сільське населення 30835 30447 30134
Могилів-Подільський район 35114 34761 34443
Міське населення 3970 3970 3939
смт Вендичани 3970 3970 3939
Сільське населення 31144 30791 30504
Мурованокуриловецький район 27973 27524 27111
Міське населення 6079 6113 6114
смт Муровані Курилівці 6079 6113 6114
Сільське населення 21894 21411 20997
Немирівський район 52764 52242 51753
Міське населення 19823 19867 19926
м. Немирів 11759 11826 11925
смт Брацлав 5631 5643 5631
смт Ситківці 2433 2398 2370
Сільське населення 32941 32375 31827
Оратівський район 23336 22982 22728
Міське населення 2926 2913 2919
смт Оратів 2926 2913 2919
Сільське населення 20410 20069 19809
Піщанський район 22274 22107 21877
Міське населення 6553 6562 6523
смт Піщанка 5390 5387 5336
смт Рудниця 1163 1175 1187
Сільське населення 15721 15545 15354
Погребищенський район 32805 32437 32003
Міське населення 10080 10013 9970
м. Погребище 10080 10013 9970
Сільське населення 22725 22424 22033
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
43
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Теплицький район 30872 30527 30120
Міське населення 6578 6544 6460
смт Теплик 6578 6544 6460
Сільське населення 24294 23983 23660
Тиврівський район 44107 43904 43719
Міське населення 23062 23060 22999
м. Гнівань 12589 12592 12546
смт Тиврів 4267 4261 4263
смт Сутиски 6206 6207 6190
Сільське населення 21045 20844 20720
Томашпільський район 35622 35233 34943
Міське населення 13535 13448 13461
смт Томашпіль 5612 5557 5535
смт Вапнярка 7923 7891 7926
Сільське населення 22087 21785 21482
Тростянецький район 37902 37603 37232
Міське населення 7915 7850 7828
смт Тростянець 7915 7850 7828
Сільське населення 29987 29753 29404
Тульчинський район 58621 58094 57683
Міське населення 24387 24328 24604
м. Тульчин 15640 15631 15920
смт Кирнасівка 5358 5334 5309
смт Шпиків 3389 3363 3375
Сільське населення 34234 33766 33079
Хмільницький район 39171 38861 38433
Сільське населення 39171 38861 38433
Чернівецький район 23729 23338 23008
Міське населення 2935 2935 2923
смт Чернівці 2935 2935 2923
Сільське населення 20794 20403 20085
Чечельницький район 23233 22880 22642
Міське населення 5199 5187 5187
смт Чечельник 5199 5187 5187
Сільське населення 18034 17693 17455
Шаргородський район 59683 59268 58914
Міське населення 6982 6949 6960
м. Шаргород 6982 6949 6960
Сільське населення 52701 52319 51954
Ямпільський район 42679 42242 41910
Міське населення 11317 11302 11316
м. Ямпіль 11317 11302 11316
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________3_1_3_6_2_______3_0_9_4_0_______3_0_5_9_4_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
44
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Волинська область 1036665 1037149 1038598
Міське населення 535367 536998 539135
Сільське населення 501298 500151 499463
м. Луцьк 210775 211783 213063
м. Володимир-Волинський 38768 38767 38783
м. Ковель 67911 68171 68648
Нововолинськ (міськрада) 57691 57831 57944
Міське населення 57691 57831 57944
м. Нововолинськ 52905 53052 53179
смт Жовтневе 4786 4779 4765
Володимир-Волинський район 25795 25670 25692
Міське населення 2195 2205 2204
м. Устилуг 2195 2205 2204
Сільське населення 23600 23465 23488
Горохівський район 53975 53668 53129
Міське населення 15155 15118 14972
м. Горохів 9178 9186 9119
м. Берестечко 1803 1796 1734
смт Мар'янівка 2812 2789 2803
смт Сенкевичівка 1362 1347 1316
Сільське населення 38820 38550 38157
Іваничівський район 33273 32993 32724
Міське населення 6785 6784 6795
смт Іваничі 6785 6784 6795
Сільське населення 26488 26209 25929
Камінь-Каширський район 62263 62494 62864
Міське населення 11661 11756 11905
м. Камінь-Каширський 11661 11756 11905
Сільське населення 50602 50738 50959
Ківерцівський район 64147 63968 63927
Міське населення 24342 24278 24153
м. Ківерці 15030 14916 14743
смт Олика 3141 3127 3137
смт Цумань 6171 6235 6273
Сільське населення 39805 39690 39774
Ковельський район 40758 40675 40498
Міське населення 8603 8608 8573
смт Голоби 4176 4131 4099
смт Люблинець 4427 4477 4474
Сільське населення 32155 32067 31925
Локачинський район 23185 23026 22924
Міське населення 3970 3941 3941
смт Локачі 3970 3941 3941
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________1_9_2_1_5_______1_9_0_8_5_______1_8_9_8_3_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
45
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Луцький район 59769 60422 61006
Міське населення 5969 5985 6024
смт Рокині 1493 1511 1527
смт Торчин 4476 4474 4497
Сільське населення 53800 54437 54982
Любешівський район 35697 35812 35961
Міське населення 5591 5627 5688
смт Любешів 5591 5627 5688
Сільське населення 30106 30185 30273
Любомльський район 40051 39855 39808
Міське населення 13195 13184 13214
м. Любомль 10114 10129 10178
смт Головне 3081 3055 3036
Сільське населення 26856 26671 26594
Маневицький район 55368 55272 55235
Міське населення 14431 14524 14601
смт Маневичі 10410 10489 10561
смт Колки 4021 4035 4040
Сільське населення 40937 40748 40634
Ратнівський район 51546 51651 51753
Міське населення 13708 13782 13909
смт Ратне 9425 9483 9608
смт Заболоття 4283 4299 4301
Сільське населення 37838 37869 37844
Рожищенський район 40587 40475 40251
Міське населення 15315 15338 15292
м. Рожище 13441 13441 13381
смт Дубище 1874 1897 1911
Сільське населення 25272 25137 24959
Старовижівський район 31164 30980 30874
Міське населення 5162 5161 5218
смт Стара Вижівка 5162 5161 5218
Сільське населення 26002 25819 25656
Турійський район 26785 26552 26456
Міське населення 8768 8785 8838
смт Турійськ 5673 5697 5732
смт Луків 3095 3088 3106
Сільське населення 18017 17767 17618
Шацький район 17157 17084 17058
Міське населення 5372 5370 5370
смт Шацьк 5372 5370 5370
Сільське населення 11785 11714 11688
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
46
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Дніпропетровська область 3355481 3336504 3320299
Міське населення 2801294 2785355 2772152
Сільське населення 554187 551149 548147
Дніпропетровськ (міськрада) 1013514 1007210 1001962
Міське населення 1013514 1007210 1001962
м. Дніпропетровськ 1011177 1004853 999577
смт Авіаторське 2337 2357 2385
м. Вільногірськ 23776 23735 23748
Дніпродзержинськ (міськрада) 251190 250115 249550
Міське населення 250868 249796 249234
м. Дніпродзержинськ 244272 243199 242646
смт Карнаухівка 6596 6597 6588
Сільське населення 322 319 316
Жовті Води (міськрада) 49168 48772 48441
Міське населення 48427 48032 47689
м. Жовті Води 48427 48032 47689
Сільське населення 741 740 752
Кривий Ріг (міськрада) 673260 667874 662982
Міське населення 670397 665080 660203
м. Кривий Ріг 670397 665080 660203
Сільське населення 2863 2794 2779
Марганець (міськрада) 49813 49697 49593
Міське населення 49197 49077 48974
м. Марганець 48869 48739 48635
смт Мар'ївка 328 338 339
Сільське населення 616 620 619
м. Нікополь 123748 121784 120000
м. Новомосковськ 70096 70354 70640
Орджонікідзе (міськрада) 43815 43617 43371
Міське населення 43815 43617 43371
м. Орджонікідзе 42061 41894 41645
смт Гірницьке 370 355 363
смт Чортомлик 1384 1368 1363
м. Павлоград 111069 110644 110470
м. Першотравенськ 29122 29104 29085
м. Синельникове 31553 31568 31553
Тернівка (міськрада) 28986 28943 29000
Міське населення 28965 28923 28981
м. Тернівка 28965 28923 28981
Сільське населення 21 20 19
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
47
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Апостолівський район 57989 57674 57447
Міське населення 28784 28647 28502
м. Апостолове 14584 14513 14480
м. Зеленодольськ 14200 14134 14022
Сільське населення 29205 29027 28945
Васильківський район 34106 33915 33684
Міське населення 17080 17089 17088
смт Васильківка 11878 11885 11905
смт Письменне 1279 1276 1281
смт Чаплине 3923 3928 3902
Сільське населення 17026 16826 16596
Верхньодніпровський район 54616 54464 54267
Міське населення 36861 36891 36865
м. Верхньодніпровськ 16943 16971 16930
м. Верхівцеве 10083 10086 10073
смт Дніпровське 5718 5696 5679
смт Новомиколаївка 4117 4138 4183
Сільське населення 17755 17573 17402
Дніпропетровський район 82764 83396 83900
Міське населення 40506 40969 41327
м. Підгородне 19148 19322 19397
смт Кіровське 9138 9136 9234
смт Ювілейне 12220 12511 12696
Сільське населення 42258 42427 42573
Криворізький район 44551 44736 44913
Міське населення 5214 5224 5242
смт Радушне 3745 3765 3789
смт Христофорівка 1469 1459 1453
Сільське населення 39337 39512 39671
Криничанський район 36757 36576 36350
Міське населення 11417 11373 11336
смт Кринички 4391 4378 4340
смт Аули 4211 4204 4197
смт Щорськ 2815 2791 2799
Сільське населення 25340 25203 25014
Магдалинівський район 35297 35087 34889
Міське населення 6541 6471 6510
смт Магдалинівка 6541 6471 6510
Сільське населення 28756 28616 28379
Межівський район 25367 25127 24865
Міське населення 8697 8680 8690
смт Межова 7537 7529 7537
смт Демурине 1160 1151 1153
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________1_6_6_7_0_______1_6_4_4_7_______1_6_1_7_5_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
48
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Нікопольський район 42756 42643 42555
Міське населення 6689 6705 6701
смт Червоногригорівка 6689 6705 6701
Сільське населення 36067 35938 35854
Новомосковський район 74533 74593 74558
Міське населення 30410 30415 30449
м. Перещепине 10338 10287 10268
смт Гвардійське 5928 5991 6022
смт Губиниха 5691 5671 5658
смт Меліоративне 4320 4286 4296
смт Черкаське 4133 4180 4205
Сільське населення 44123 44178 44109
Павлоградський район 29196 28912 28690
Сільське населення 29196 28912 28690
Петриківський район 25423 25542 25646
Міське населення 8716 8690 8700
смт Петриківка 4779 4746 4760
смт Курилівка 2645 2659 2655
смт Миколаївка 1292 1285 1285
Сільське населення 16707 16852 16946
Петропавлівський район 29325 28832 28402
Міське населення 8278 8134 8005
смт Петропавлівка 7865 7749 7644
смт Брагинівка 413 385 361
Сільське населення 21047 20698 20397
Покровський район 37175 36754 36337
Міське населення 15811 15655 15468
смт Покровське 10515 10457 10343
смт Просяна 5296 5198 5125
Сільське населення 21364 21099 20869
П'ятихатський район 46934 46503 46272
Міське населення 23541 23436 23417
м. П'ятихатки 19069 18981 18994
смт Вишневе 2343 2362 2370
смт Лихівка 2129 2093 2053
Сільське населення 23393 23067 22855
Синельниківський район 39317 39202 39073
Міське населення 13437 13502 13531
смт Іларіонове 8868 8918 8959
смт Роздори 1801 1791 1783
смт Сад 477 470 471
смт Славгород 2291 2323 2318
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________2_5_8_8_0_______2_5_7_0_0_______2_5_5_4_2_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
49
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Солонянський район 39764 39654 39524
Міське населення 9530 9515 9548
смт Солоне 7529 7543 7598
смт Новопокровка 2001 1972 1950
Сільське населення 30234 30139 29976
Софіївський район 23740 23424 23109
Міське населення 7236 7212 7189
смт Софіївка 7236 7212 7189
Сільське населення 16504 16212 15920
Томаківський район 26425 26149 25915
Міське населення 7224 7135 7139
смт Томаківка 7224 7135 7139
Сільське населення 19201 19014 18776
Царичанський район 27945 27821 27690
Міське населення 7594 7610 7646
смт Царичанка 7594 7610 7646
Сільське населення 20351 20211 20044
Широківський район 28359 28116 27988
Міське населення 10812 10730 10570
смт Широке 10284 10248 10543
смт Миколаївка 528 482 27
Сільське населення 17547 17386 17418
Юр'ївський район 14032 13967 13830
Міське населення 2369 2348 2319
смт Юр'ївка 2369 2348 2319
Сільське населення 11663 11619 11511
Донецька область 4466740 4433011 4403178
Міське населення 4042858 4013062 3987358
Сільське населення 423882 419949 415820
Донецьк (міськрада) 984412 978138 971096
Міське населення 982801 976526 969504
м. Донецьк 968250 962049 955041
м. Моспине 10827 10753 10741
смт Горбачево-Михайлівка 933 935 928
смт Ларине 2791 2789 2794
Сільське населення 1611 1612 1592
м. Авдіївка 35649 35358 35257
Артемівськ (міськрада) 106120 105195 104631
Міське населення 106120 105195 104631
м. Артемівськ 78849 78251 77952
м. Соледар 12070 11898 11799
м. Часів Яр 14541 14360 14225
_______ _ _ _ _с_м_т_ _К_р_а_с_н_а_ _Г_о_р_а________________________6_6_0_________6_8_6_________6_5_5_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
50
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Вугледар 15641 15497 15477
Горлівка (міськрада) 284343 281668 279500
Міське населення 282182 279544 277371
м. Горлівка 263647 261052 258879
смт Гольмівський 7149 7127 7104
смт Зайцеве 3563 3523 3498
смт Пантелеймонівка 7823 7842 7890
Сільське населення 2161 2124 2129
Дебальцеве (міськрада) 46907 46674 46302
Міське населення 46907 46674 46302
м. Дебальцеве 26478 26255 26026
м. Світлодарськ 12287 12273 12172
смт Миронівський 8142 8146 8104
Дзержинськ (міськрада) 76017 75162 74435
Міське населення 72654 71808 71099
м. Дзержинськ 36835 36324 35899
м. Артемове 5775 5720 5647
смт Кірове 10448 10330 10262
смт Курдюмівка 968 938 917
смт Ленінське 1662 1637 1612
смт Неліпівка 1153 1128 1121
смт Новгородське 11019 10948 10892
смт Петрівка 1128 1121 1114
смт Щербинівка 3666 3662 3635
Сільське населення 3363 3354 3336
Димитров (міськрада) 51646 51260 50995
Міське населення 50636 50251 49987
м. Димитров 50636 50251 49987
Сільське населення 1010 1009 1008
Добропілля (міськрада) 64760 64288 63938
Міське населення 64676 64212 63866
м. Добропілля 31934 31701 31514
м. Білицьке 8934 8783 8671
м. Білозерське 16351 16267 16214
смт Водянське 1574 1577 1572
смт Новодонецьке 5883 5884 5895
Сільське населення 84 76 72
Докучаєвськ (міськрада) 24615 24513 24506
Міське населення 23791 23714 23717
м. Докучаєвськ 23791 23714 23717
Сільське населення 824 799 789
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
51
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Дружківка (міськрада) 70983 70525 70126
Міське населення 70218 69762 69372
м. Дружківка 61002 60581 60255
смт Олексієво-Дружківка 7787 7746 7700
смт Новогригорівка 388 391 388
смт Новомиколаївка 100 100 98
смт Райське 941 944 931
Сільське населення 765 763 754
Єнакієве (міськрада) 136548 134173 132110
Міське населення 133187 130847 128797
м. Єнакієве 87243 85663 84187
м. Вуглегірськ 8415 8226 8030
м. Юнокомунарівськ 14839 14570 14375
смт Булавинське 3247 3217 3185
смт Дружне 686 681 680
смт Карло-Марксове 10124 10013 9937
смт Корсунь 2726 2696 2670
смт Олександрівське 1683 1648 1631
смт Оленівка 821 797 787
смт Ольховатка 3246 3179 3159
смт Прибережне 157 157 156
Сільське населення 3361 3326 3313
Жданівка (міськрада) 13479 13405 13377
Міське населення 13366 13296 13271
м. Жданівка 12583 12522 12500
смт Вільхівка 783 774 771
Сільське населення 113 109 106
м. Кіровське 28690 28550 28470
м. Костянтинівка 80416 79211 78114
Краматорськ (міськрада) 201632 199874 199020
Міське населення 200859 199118 198275
м. Краматорськ 167850 166284 165469
смт Біленьке 9589 9524 9485
смт Комишуваха 496 494 491
смт Красноторка 2998 2991 3001
смт Малотаранівка 3704 3690 3682
смт Олександрівка 414 412 419
смт Софіївка 865 863 853
смт Шабельківка 4398 4408 4420
смт Ясна Поляна 2142 2140 2143
смт Ясногірка 8403 8312 8312
Сільське населення 773 756 745
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
52
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Красний Лиман (міськрада) 23734 23999 23740
Міське населення 22697 22969 22730
м. Красний Лиман 22697 22969 22730
Сільське населення 1037 1030 1010
Красноармійськ (міськрада) 78573 78098 77891
Міське населення 78573 78098 77891
м. Красноармійськ 65773 65447 65325
м. Родинське 11002 10867 10773
смт Шевченко 1798 1784 1793
Макіївка (міськрада) 399987 396893 394604
Міське населення 398705 395709 393490
м. Макіївка 360989 358156 356118
смт Велике Оріхове 623 617 606
смт Високе 485 482 481
смт Вугляр 1116 1109 1098
смт Грузько-Зорянське 1403 1395 1375
смт Грузько-Ломівка 632 629 630
смт Гусельське 465 464 457
смт Землянки 1767 1780 1743
смт Красний Октябр 930 932 924
смт Кринична 4533 4520 4506
смт Колосникове 616 611 610
смт Лісне 138 139 135
смт Маяк 1207 1204 1210
смт Межове 1234 1212 1210
смт Нижня Кринка 14001 13956 13927
смт Пролетарське 3269 3263 3242
смт Свердлове 1532 1522 1515
смт Ясинівка 3765 3718 3703
Сільське населення 1282 1184 1114
Маріуполь (міськрада) 491295 488541 486320
Міське населення 490372 487635 485409
м. Маріуполь 469336 466665 464457
смт Сартана 10793 10772 10762
смт Старий Крим 6088 6069 6053
смт Талаківка 4155 4129 4137
Сільське населення 923 906 911
м. Новогродівка 15824 15660 15560
Селидове (міськрада) 55267 54949 54626
Міське населення 55267 54949 54626
м. Селидове 24481 24366 24269
м. Гірник 11897 11822 11762
_______ _ _ _ _м_._У_к_р_а_ї_н_с_ь_к__________________________1_2_2_3_4_______1_2_1_6_1_______1_2_0_6_1_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
53
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Вишневе 253 264 260
смт Гостре 719 704 684
смт Комишівка 453 463 463
смт Курахівка 3213 3166 3134
смт Цукурине 2017 2003 1993
Слов'янськ (міськрада) 140193 139141 138450
Міське населення 140193 139141 138450
м. Слов'янськ 119482 118602 117994
м. Миколаївка 15920 15847 15780
м. Святогірськ 4791 4692 4676
Сніжне (міськрада) 72542 71849 71277
Міське населення 71736 71058 70491
м. Сніжне 50058 49564 49095
смт Андріївка 2243 2236 2229
смт Бражине 332 328 325
смт Гірницьке 1180 1177 1177
смт Залісне 2465 2432 2418
смт Лиманчук 926 920 911
