deputat,perc_for,votes_for,tvo,oblast,year,info,proposed,registration,gender,age,birthday,job,city_living,party,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,average_age,pop_change,region_ideology,previous,ever,funding,power_status,party_ideology,prop_election_forecast
Скрипченко Валерій Володимирович,NA,NA,11,Вінницька область,2019,"народився 6 березня 1975 року в місті Первомайськ Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,25.06.2019,M,44,6.3.1975,фізична особа – підприємець,проживає в місті Вінниці,політична партія всеукраїнське обєднання свобода,11,Кошулинський Руслан,1.37900852119142,1607,NA,41.1,-4.7,grey,0,0,0,no,orange,NA
Хаджинов Максим Геннадійович,NA,NA,11,Вінницька область,2019,"народився 9 квiтня 1991 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник цеху № 3 по виготовленню електронагрівальних плит, ПП ""ВО Елна-Сервіс"", безпартійний, проживає в селі Якушенці Вінницького району Вінницької області, судимість відсутня, самовисування.",самовисування,20.06.2019,M,28,9.4.1991,начальник цеху № 3 по виготовленню електронагрівальних плит,проживає в селі Якушенці Вінницького району Вінницької області,безпартійний,11,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Шулікін Олег Миколайович,NA,NA,11,Вінницька область,2019,"народився 24 серпня 1966 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Агрономічненський сільський голова, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",самовисування,22.06.2019,M,53,24.8.1966,Агрономічненський сільський голова,проживає в селі Агрономічне Вінницького району Вінницької області,безпартійний,11,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Базелюк Володимир Васильович,NA,NA,12,Вінницька область,2019,"народився 13 квiтня 1980 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,22.06.2019,M,39,13.4.1980,фізична особа – підприємець,проживає в місті Вінниці,політична партія всеукраїнське обєднання свобода,12,Кошулинський Руслан,1.44266432475295,1692,NA,41.1,-4.7,grey,0,0,0,no,orange,NA
Білошкурський Олександр Валерійович,NA,NA,12,Вінницька область,2019,"народився 28 серпня 1975 року в місті Вінниця, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Консалтинг експерт груп ""Діктум-Фактум"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,24.06.2019,M,44,28.8.1975,директор,проживає в місті Вінниці,безпартійний,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Ваколюк Людмила Євгенівна,NA,NA,12,Вінницька область,2019,"народилася 14 жовтня 1971 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",політична партія всеукраїнське обєднання батьківщина,24.06.2019,F,48,14.10.1971,фізична особа – підприємець,проживає в місті Вінниці,політична партія всеукраїнське обєднання батьківщина,12,Тимошенко Юлія,13.8187120042973,16207,NA,41.1,-4.7,grey,0,0,0,no,orange,7.2
ВерланКульшенко Олена Олександрівна,NA,NA,12,Вінницька область,2019,"народилася 13 липня 1971 року в смт Шаргород Шаргородського району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець,  викладач кафедри патологічної анатомії, судової медицини та права, Вінницький національний медичний університет імені М.І. Пирогова, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,24.06.2019,F,48,13.7.1971,фізична особа – підприємець,проживає в місті Вінниці,безпартійний,12,Порошенко Петро,27.1301041071596,31819,NA,41.1,-4.7,grey,0,0,0,no,orange,8.3
Галіцька Вікторія Вікторівна,NA,NA,12,Вінницька область,2019,"народилася 24 грудня 1988 року в селі Суслівці Летичівського району Хмельницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ДИНАСТІЯ В.В."", безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,20.06.2019,F,31,24.12.1988,директор,проживає в місті Вінниці,безпартійний,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Головін Ігор Володимирович,NA,NA,12,Вінницька область,2019,"народився 20 липня 1975 року в місті Житомирі, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ"".",політична партія свідома нація,25.06.2019,M,44,20.7.1975,фізична особа – підприємець,проживає в місті Вінниці,безпартійний,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Грушко Сергій Сергійович,NA,NA,12,Вінницька область,2019,"народився 11 липня 1990 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, житлово-будівельний кооператив ""Польський Бульвар"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,24.06.2019,M,29,11.7.1990,голова,проживає в місті Вінниці,політична партія опозиційна платформа  за життя,12,Бойко Юрій,4.64687976944655,5450,NA,41.1,-4.7,grey,0,0,0,no,blue,12
Донець Віталій Григорович,NA,NA,12,Вінницька область,2019,"народився 27 лютого 1981 року в місті Біла Церква Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, державна реабілітаційна установа ""Центр комплексної реабілітації для дітей з інвалідністю ""Промінь"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,15.06.2019,M,38,27.2.1981,директор,проживає в місті Вінниці,безпартійний,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Драбовський Анатолій Григорович,NA,NA,12,Вінницька область,2019,"народився 1 серпня 1958 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Вінницький кооперативний інститут, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,61,1.8.1958,ректор,проживає в місті Вінниці,безпартійний,12,Зеленський Володимир,24.3300393066344,28535,NA,41.1,-4.7,grey,0,0,0,yes,orange,45.5
Кривешко Сергій Сергійович,NA,NA,12,Вінницька область,2019,"народився 25 грудня 1975 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""АТП КРИВЕШКО"", безпартійний, проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",політична партія сила і честь,24.06.2019,M,44,25.12.1975,директор,проживає в селі Вінницькі Хутори Вінницького району Вінницької області,безпартійний,12,Смешко Ігор,11.7570321359447,13789,NA,41.1,-4.7,grey,0,0,0,no,orange,3.9
Мазуренко Денис Анатолійович,NA,NA,12,Вінницька область,2019,"народився 7 сiчня 1985 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",політична партія опозиційний блок,25.06.2019,M,34,7.1.1985,фізична особа – підприємець,проживає в місті Вінниці,політична партія опозиційний блок,12,Вілкул Олександр,2.16996495655807,2545,NA,41.1,-4.7,grey,0,0,0,no,blue,NA
Марцинковський Леонід Васильович,NA,NA,12,Вінницька область,2019,"народився 16 серпня 1977 року в смт Стрижавка Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керуючий партнер, адвокатське об’єднання ""Марцинковський і партнери"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,18.06.2019,M,42,16.8.1977,керуючий партнер,проживає в місті Вінниці,безпартійний,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Околіта Володимир Олександрович,NA,NA,12,Вінницька область,2019,"народився 23 листопада 1972 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-хірург, Вінницька обласна клінічна лікарня ім. М.І. Пирогова, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".",політична партія обєднання самопоміч,22.06.2019,M,47,23.11.1972,лікар-хірург,проживає в селі Вінницькі Хутори Вінницького району Вінницької області,політична партія обєднання самопоміч,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,orange,NA
Павленко Юрій Євгенійович,NA,NA,12,Вінницька область,2019,"народився 29 жовтня 1989 року в смт Стара Синява Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".",політична партія патріот,25.06.2019,M,30,29.10.1989,тимчасово не працює,проживає в місті Вінниці,безпартійний,12,Новак Андрій,0.0341055395922683,40,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Покорук Неля Миколаївна,NA,NA,12,Вінницька область,2019,"народилася 16 грудня 1969 року в селі Оленівка Вінницького району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонерка, член Аграрної партії України, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Аграрна партія України.",аграрна партія україни,25.06.2019,F,50,16.12.1969,пенсіонерка,проживає в місті Вінниці,аграрна партія україни,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Руденко Сергій Васильович,NA,NA,12,Вінницька область,2019,"народився 5 листопада 1968 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,20.06.2019,M,51,5.11.1968,фізична особа – підприємець,проживає в місті Вінниці,безпартійний,12,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Бойко Юрій Іванович,NA,NA,13,Вінницька область,2019,"народився 31 травня 1962 року в селі Широка Гребля Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",політична партія сила і честь,24.06.2019,M,57,31.5.1962,пенсіонер,проживає в місті Києві,безпартійний,13,Смешко Ігор,8.29552886462021,7991,NA,41.1,-4.7,grey,0,0,0,no,orange,3.9
Вербецький Андрій Олегович,NA,NA,13,Вінницька область,2019,"народився 11 листопада 1993 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,21.06.2019,M,26,11.11.1993,фізична особа – підприємець,проживає в місті Вінниці,політична партія національний корпус,13,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Колесник Ірина Миколаївна,NA,NA,13,Вінницька область,2019,"народилася 30 квiтня 1987 року в місті Козятин Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, безробітна, безпартійнa, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",політична партія голос,22.06.2019,F,32,30.4.1987,безробітна,проживає в селі Козятин Козятинського району Вінницької області,безпартійний,13,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,orange,6.6
Крученюк Олександр Васильович,NA,NA,13,Вінницька область,2019,"народився 30 травня 1978 року в місті Хмільник Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в місті Хмільник Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,24.06.2019,M,41,30.5.1978,заступник голови,проживає в місті Хмільник Вінницької області,політична партія європейська солідарність,13,Порошенко Петро,21.239709744729,20460,NA,41.1,-4.7,grey,0,0,0,no,orange,8.3
Максименко Юрій Володимирович,NA,NA,13,Вінницька область,2019,"народився 19 грудня 1981 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""КУРС"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,38,19.12.1981,директор,проживає в місті Вінниці,безпартійний,13,Зеленський Володимир,23.0086474478091,22164,NA,41.1,-4.7,grey,0,0,0,yes,orange,45.5
Матвіюк Сергій Анатолійович,NA,NA,13,Вінницька область,2019,"народився 14 грудня 1978 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Козятин Вінницької області, судимість відсутня, самовисування.",самовисування,21.06.2019,M,41,14.12.1978,фізична особа – підприємець,проживає в місті Козятин Вінницької області,політична партія всеукраїнське обєднання батьківщина,13,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Москалюк Андрій Петрович,NA,NA,13,Вінницька область,2019,"народився 15 серпня 1976 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""Барбарис"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,24.06.2019,M,43,15.8.1976,керівник,проживає в місті Вінниці,політична партія опозиційна платформа  за життя,13,Бойко Юрій,3.72784934962472,3591,NA,41.1,-4.7,grey,0,0,0,no,blue,12
Побережний Олег Володимирович,NA,NA,13,Вінницька область,2019,"народився 8 серпня 1967 року в селі Стара Гута Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, ГО ""Партія Національного Порятунку"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"".",політична партія соціальна справедливість,24.06.2019,M,52,8.8.1967,голова,проживає в місті Вінниці,політична партія соціальна справедливість,13,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
РепяхОлександр Анатолійович,NA,NA,13,Вінницька область,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Стахов Валерій Іванович,NA,NA,13,Вінницька область,2019,"народився 17 жовтня 1969 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, селянсько-фермерське господарство ""Богдан"", безпартійний, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, самовисування.",самовисування,18.06.2019,M,50,17.10.1969,голова,проживає в селі Козятин Козятинського району Вінницької області,безпартійний,13,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Юрчишин Петро Васильович,NA,NA,13,Вінницька область,2019,"народився 13 липня 1958 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",самовисування,15.06.2019,M,61,13.7.1958,народний депутат України,проживає в місті Хмільник Вінницької області,безпартійний,13,NA,0,0,NA,41.1,-4.7,grey,1,1,35070,no,grey,NA
Яремчук Юрій Якович,NA,NA,13,Вінницька область,2019,"народився 31 травня 1972 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",політична партія опозиційний блок,25.06.2019,M,47,31.5.1972,тимчасово не працює,проживає в місті Вінниці,політична партія опозиційний блок,13,Вілкул Олександр,1.59349728534502,1535,NA,41.1,-4.7,grey,0,0,0,no,blue,NA
Борзова Ірина Наумівна,NA,NA,14,Вінницька область,2019,"народилася 28 серпня 1982 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,F,37,28.8.1982,фізична особа – підприємець,проживає в місті Вінниці,безпартійний,14,Зеленський Володимир,23.5275934351484,24356,NA,41.1,-4.7,grey,0,0,0,yes,orange,45.5
Брояка Вадим Францович,NA,NA,14,Вінницька область,2019,"народився 16 листопада 1985 року в селі Будків Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, директор, ТОВ ""Юридична фірма ""Юрінформ"", безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",самовисування,21.06.2019,M,34,16.11.1985,директор,проживає в місті Хмільник Вінницької області,безпартійний,14,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Дикий Микола Борисович,NA,NA,14,Вінницька область,2019,"народився 12 червня 1972 року в селі Городище Літинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в смт Літин Літинського району Вінницької області, судимість відсутня, самовисування.",самовисування,13.06.2019,M,47,12.6.1972,пенсіонер,проживає в смт Літин Літинського району Вінницької області,політична партія національний корпус,14,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Дунайчук Альона Вікторівна,NA,NA,14,Вінницька область,2019,"народилася 25 лютого 1983 року в селі Мальчівці Барського району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в селі Мальчівці Барського району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",політична партія опозиційний блок,25.06.2019,F,36,25.2.1983,тимчасово не працює,проживає в селі Мальчівці Барського району Вінницької області,політична партія опозиційний блок,14,Вілкул Олександр,2.26524086900242,2345,NA,41.1,-4.7,grey,0,0,0,no,blue,NA
